subject_id,model_name,roc_auc,f1_seizure,recall_seizure,precision_seizure,accuracy
sub-021,Fused_EEG_ECG,0.9632456140350878,0.8342857142857143,0.8555555555555556,0.8444444444444444,0.9499341238471674
sub-022,ECG_Only,0.71565065681445,0.33756500580029986,0.38333333333333336,0.33062271062271065,0.8294823232323232
sub-022,EEG_Only,0.9658866995073893,0.5865800865800865,0.5666666666666667,0.6558730158730159,0.9168560606060606
sub-022,Fused_EEG_ECG,0.9398399014778325,0.5177922077922078,0.5,0.6030158730158729,0.9066287878787879
sub-024,ECG_Only,0.7592361111111111,0.5815873015873015,0.7,0.5844444444444445,0.9089324618736383
sub-024,EEG_Only,0.9559722222222222,0.8644444444444445,0.8666666666666667,0.8777777777777778,0.9808278867102396
sub-024,Fused_EEG_ECG,0.9359722222222222,0.8644444444444445,0.8666666666666667,0.8777777777777778,0.9810457516339869
sub-026,ECG_Only,0.7898117386489479,0.23333333333333334,0.36666666666666664,0.1841269841269841,0.917070707070707
sub-026,EEG_Only,1.0,0.9733333333333333,1.0,0.9555555555555556,0.996969696969697
sub-026,Fused_EEG_ECG,1.0,0.9288888888888889,0.9333333333333333,0.9555555555555556,0.993939393939394
sub-028,ECG_Only,0.5142857142857142,0.07777777777777777,0.06666666666666667,0.1,0.8744444444444445
sub-028,EEG_Only,0.9857142857142858,0.84,0.9333333333333333,0.788888888888889,0.9658333333333334
sub-028,Fused_EEG_ECG,0.9857142857142858,0.7733333333333333,0.8666666666666667,0.7222222222222222,0.961388888888889
sub-029,ECG_Only,0.6316017316017316,0.17777777777777776,0.23333333333333334,0.16666666666666666,0.9130434782608695
sub-029,EEG_Only,0.9936507936507937,0.7644444444444445,0.8666666666666667,0.711111111111111,0.9710144927536232
sub-029,Fused_EEG_ECG,0.9936507936507937,0.8444444444444444,0.8666666666666667,0.8333333333333334,0.9855072463768116
sub-030,ECG_Only,0.7562611408199643,0.437989417989418,0.4166666666666667,0.5155555555555555,0.8911332385016596
sub-030,EEG_Only,0.9561942959001782,0.6184944684944684,0.6833333333333333,0.6026984126984127,0.9110953058321479
sub-030,Fused_EEG_ECG,0.9497920380273321,0.5580952380952381,0.5166666666666667,0.7144444444444444,0.914556661925083
sub-031,ECG_Only,0.8766666666666667,0.44666666666666666,0.5666666666666667,0.3888888888888889,0.8681818181818183
sub-031,EEG_Only,0.8066666666666666,0.5136507936507937,0.6,0.4711111111111111,0.8949494949494949
sub-031,Fused_EEG_ECG,0.9066666666666666,0.4111111111111111,0.43333333333333335,0.43333333333333335,0.901010101010101
sub-034,ECG_Only,0.9812962962962963,0.5399999999999999,0.6333333333333333,0.5333333333333333,0.9682392846130127
sub-034,EEG_Only,1.0,0.8755555555555555,0.9,0.9111111111111111,0.9913660191181005
sub-034,Fused_EEG_ECG,1.0,0.9333333333333333,0.9,1.0,0.9956830095590502
sub-036,ECG_Only,0.7,0.6711111111111111,0.9666666666666667,0.5666666666666667,0.7033333333333334
sub-036,EEG_Only,0.85,0.5644444444444444,0.6,0.5666666666666667,0.77
sub-036,Fused_EEG_ECG,0.8166666666666667,0.5933333333333334,0.7666666666666667,0.5444444444444444,0.73
sub-037,ECG_Only,1.0,0.9555555555555556,0.9333333333333333,1.0,0.9833333333333333
sub-037,EEG_Only,1.0,0.9580952380952381,1.0,0.9377777777777777,0.9666666666666667
sub-037,Fused_EEG_ECG,1.0,1.0,1.0,1.0,1.0
sub-040,ECG_Only,0.7819499341238472,0.28698412698412695,0.3333333333333333,0.32111111111111107,0.8962560386473429
sub-040,EEG_Only,1.0,0.9511111111111111,1.0,0.9222222222222222,0.9916666666666667
